Startup,URL,Business Description,"Funding 
Round","Total 
funding (US$)",Opportunity Space,,Founded,Country
Geospiza,https://geospiza.us/,"Geospiza is a technology startup that develops software tools for emergency managers, first responders, elected officials, and corporate leaders to aid data-driven decisions in disaster situations. The platform integrates, consolidates, and analyzes raw data streams and uses a function-based perspective on the same for identifying what people must do to stay safe, provides actionable information about who is most vulnerable to disaster, why, and how to reduce that vulnerability. Vulnerability information is presented via GIS-enabled graphical user interface that allows users to visualize vulnerability in terms of location, size, and density.",Seed,"1,220,000",Disaster proofing and management,,2017,USA
SAReye,https://sareye.com/,SAReye is developing a uniﬁed incident and disaster management system for ﬁrst responders and corporations. ,Undisclosed,,Disaster proofing and management,,2012,Iceland
PETRA Data Science,http://www.petradatascience.com/,"Digital twin prediction, simulation and optimisation shows you how to reproduce your ‘best performance’ 24 hours a day, seven days a week. ",Undisclosed,,Digital twin of port,,2015,Australia
One Concern,https://www.oneconcern.com/,One Concern estimates damage caused by a natural disaster using artificial intelligence and natural phenomenon science. Provides emergency operations centers with instant situation awareness which would let the disaster recovery and resource allocation to be more efficient.,Series B,"59,200,000",Disaster proofing and management,,2015,USA
Segment,https://segment.com,"Segment collects, organizes, manages, and analyzes data for businesses so that they can deliver better experiences to their customers. ",Series C,"170,600,000",Data audit & standardisation,,2012,USA
 Romcrew,https://www.romcrew.com/,"Crewing agencies, Maritime Jobs and Shipping Platform",Undisclosed,,Automated port surveillance,,2016,Georgia
 my-ankaa,http://www.my-ankaa.com/,"My-Ankaa’s innovative digital portal and mobile app provides maritime companies with a secure online environment for storing, processing and sharing seafarer data in real-time – all in one place.",Undisclosed,,Paperwork simplification/reduction,,2016,England
SkySails Marine,https://skysails-marine.com/index.html,"Wind power is the back­bone of the global en­er­gy tran­si­tion. Yet, with cur­rent tech­nol­o­gy spread­ing the use of this power­ful source of re­new­able en­er­gy is li­mit­ed. SkySails has de­velop­ed propul­sion sys­tem for cargo ships rev­o­lu­tion­iz­ing the way wind en­er­gy is ex­ploit­ed and con­vert­ed into power. In this way, SkySails sig­nif­i­cant­ly ex­pands the range of ap­pli­cat­ions for wind power and thus makes a sig­ni­fi­cant con­tri­bution to achiev­ing the en­er­gy re­vo­lu­tion.",Undisclosed,,Automated port surveillance,,2001,Germany
Sea Machines Robotics,https://sea-machines.com/,Sea Machines Robotics builds advanced autonomous technology for the marine and maritime sector and has already launched a product line of autonomous control and navigation systems for commercial boats and ships.,Series A,"12,300,000",Retrofitting existing vessels with green tech,,2014,USA
4FOLD,https://www.4foldcontainers.com/,Improved cargo capacity by innovative 40 foot container design (fold).,Undisclosed,,Container logistics optimisation,,2008,Netherlands
Xeneta,https://www.xeneta.com/,Xeneta is an easy-to-use yet powerful ocean freight rate benchmarking and market intelligence platform. ,Series B,"20,500,000",Intelligent freight price discovery,,2012,Norway
xChange,https://container-xchange.com/,Find SOC containers for one-way use and identify partners that move your containers to where you really need them. ,Series A,,Container logistics optimisation,,2015,Germany
Chef,https://www.chef.io/,"Chef is the leader in cloud infrastructure automation. We help companies of all sizes develop fully automated server infrastructures that scale easily and predictably, and can be quickly rebuilt in any environment, saving developers and systems engineers time and money.",Series E,"137,000,000",Data audit & standardisation,,2008,USA
Razient,http://www.razient.com/,"RAZIENT, version 1.0, is a SaaS solution that allows companies to gain insight into the risks and threats that could adversely impact their local and global locations by tracking all global incidents daily and helping the company automate the crisis management process. Quickly connect the dots with an end-to-end view of the supply chain and suppliers and disasters/incidents that can keep products from shipping.",Seed,"40,000",Port cybersecurity,,2011,Chile
Orca AI,https://www.orca-ai.io/,"By combining artificial intelligence with data generated from new vision sensors and existing sensors onboard the vessel, Orca AI hopes to reduce human error in collision avoidance to nill, making the world’s busy waterways and the ships that sail them safer.",Seed,"2,600,000",Automated port surveillance,,2018,Israel
Buffalo Automation,https://www.buffautomation.com/,"BAG is a robotics company that develops unmanned surface vehicles for marine transport applications. They have created 'Automate Technology' which can be fitted onto existed boats; which will enable a boat to anticipate weather conditions and be able to chart its path to a destination, steer clear of obstacles and other such hazards. Their solution is a plug and play offering which can be integrated with electronic systems of the current boats to make them autonomous. ",Seed,"900,000",Retrofitting existing vessels with green tech,,2014,USA
keeptruckin,https://keeptruckin.com/fleet-workflow-solution,Saving 625 hours per month by using technology for smarter dispatching.,Undisclosed,"227,300,000",In-land infrastructure development,,2013,USA
InstaFreight,https://www.instafreight.de/,"InstaFreight is a digital forwarding company for B2B customers, that enables fast and uncomplicated processing of freight transports.",Undisclosed,"8,760,000",In-land infrastructure development,,2016,Germany
Fizyr,https://fizyr.com/process,"izyr enables the automating of human tasks in logistics using AI. Their deep learning algorithm adds a layer of understanding, bringing autonomous decision making to processes that involve classifying, quality control*, counting, picking and manipulating.",Seed,,Automated port infrastructure,,2014,Netherlands
Greyorange,https://www.greyorange.com/,GreyOrange is a global company that modernizes order fulfillment through Artificial Intelligence-driven software and mobile robots built together so they cooperate in deciding on and executing warehouse activities that maximize payoffs and minimize tradeoffs to create the highest yield.,Undisclosed,"170,000,000",Automated port infrastructure,,2011,Singapore
FreightOptics,http://freightoptics.com,"FreightOptics, a proprietary software suite, provides one login access to view all modes of your supply chain.",Undisclosed,,Container logistics optimisation,,2011,USA
Isotropic Systems,http://www.isotropicsystems.com/,"Isotropic Systems Limited (ISL) is developing the world’s most spectrally efficient, low profile antennas that are con-formal, multi-band and electronically steerable.  The company’s team of industry experts and scientists have reached a major breakthrough in technology and innovative antenna design. ",Series A,"20,000,000",Automated port infrastructure,,2013,England
MachineMetrics,http://www.machinemetrics.com,"MachineMetrics is manufacturing’s first Industrial IoT Platform for Machines. We transform analytics into action through universal machine connectivity, cloud data Infrastructure, and communication workflows that optimize machine operation.",Series A,"13,400,000",Automated port infrastructure,,2014,USA
MERA,http://mera.no,"MERA AS develops, manufactures and supplies the market with pioneering condition monitoring for hydraulic systems.",Undisclosed,,Automated port infrastructure,,2008,Norway
Myriota,http://www.myriota.com,"Low cost, long battery life, global IoT connectivity. Myriota provides low cost IoT connectivity without the need for any ground based towers or other infrastructure.",Series A,"15,000,000",Automated port infrastructure,,2015,USA
nCentric,http://www.ncentric.com,"We build innovative, high capacity wireless IP networks using our 100% in-house developed products for the offshore market.",Undisclosed,,Automated port infrastructure,,2010,Belgium
BlueCargo,https://www.bluecargo.io/,BlueCargo provides AI-enabled predictive analytics to optimize terminal port operations. The solution provides predictive analytics (powered by proprietary algorithms) on container dwell times and recommends optimal container movement & yard management strategies.,Seed,"3,200,000",Port configuration and planning,,2018,USA
Xvela,https://www.xvela.com/,"XVELA is a cloud-based platform connects ocean carriers and terminal operators, providing them visibility across the vessel rotation process and collaboration tools. XVELA enables terminals, carriers and operational partners to work together throughout the stowage planning and execution process using shared data. Their solution is modular and contains modules for terminal operational specifications, real-time vessel profiles, and a shared visualization of the ship configuration and container placement.",Undisclosed,,Port configuration and planning,,2014,USA
Vesslman,https://www.vesselman.com/,"Vesslman provides a cloud based software solution for dry docking. The system provides a planning and operational support for all tasks of the dry docking process and imports technical job specifications from the customers' PMS system. The specification is then approved by stakeholders and sent to yards and contractors. After the process begins, the customer can track and the progress and update the status of various tasks of the process. Pricing is dependent on the number of vessels or company starting at a yearly fee of 10,000 EUR per company and 2,000 EUR per vessel.",Undisclosed,,Port configuration and planning,,2015,Norway
Dock411,https://dock411.com/,"Dock411 provides an online platform for commercial truck drivers which provides information on nearby docks such as weight limits, overnight parking spots, hazards, local directions, backing situations, dock door numbers, load/unload procedures, weather, and emergency delays etc. The platform is also available as a mobile application for Android and iOS platforms.",Undisclosed,,Port configuration and planning,,2015,USA
Gullseye,https://www.e-ports.com/,"Gullseye is a terminal operating system for container, ro-ro, general cargo, liquid cargo terminals. Its features include operations planning, 3D monitoring, trucks and crane management, quotations management and CRM. It also offers EDI integration (COPARN, COPRAR, CODECO, VERMAS, BABLIE), integration with gate automation systems such as ALPR, OCR, RFID and integration with external equipment such as RTG Smartrail, Reefer measuring and weighbridges integration.",Undisclosed,,Port configuration and planning,,2011,Turkey
Box look,https://www.gdyxkk.com/,"Box to see offers solutions for managing terminal operations. The software includes API interface for customer docking, exception reminder, Wechat inquiry, potential data integration, port management, and digital supply chain management.",Series A,"1,420,000",Port configuration and planning,,2017,China
Portchain,https://www.portchain.com/,"Portchain is an online cloud-based SaaS platform which provides port operators with vessel scheduling and terminal resource management. The solution consists of two parts, Port Call Plan and Berth Optimization. Port Call Plan provides real-time updates regarding vessel schedules. Berth Optimization Engine allows terminal operators to manage their port resources efficiently and helps in reducing labor costs through the intelligent vessel and crane allocations.",Undisclosed,,Port configuration and planning,,2017,Denmark
Portcall,https://portcall.com/,"Portcall offers a software-based solution for port management. It claims to streamline scheduling, reservation and billing functions for ports and pilots. Agents can request port calls online, harbormasters book berths, and pilots confirm movement orders from the platform. As of November 2016, Portcall is being used at 9 ports worldwide.",Undisclosed,,Port configuration and planning,,2015,USA
CNB Technologies,https://www.cnbtek.com/,"C&B provides complete end-to-end solution for tracking containers in real time. It enables the user to precisely locate containers inside shipyards. Provides for Real time tracking systems(RTTS) primarily based on GPS, GSM and RFID locate an object or asset. Other features include 2D, 3D yard plan, container shifting history, alerts via sms or email and task updates. Customers include Balmer-lawrie, Adani and Titan.",Undisclosed,,Port configuration and planning,,2009,India
Integrasi Logistk Cipta Solusi,https://www.ilcs.co.id/,"ILCS (Integrasi Logistik Cipta Solusi) provides a suite of software solutions to the logistics industry, with a focus on solutions for ports & terminals. Product offerings include 'CARTOS' - a car terminal operating system for vehicle distribution management, 'VGM Solas' - a weighing solution to manage weight-related regulatory compliance, and an end-to-end cloud-based terminal operating system. Its offering also consists of a port surveillance system, vessel management & tracking portal, warehouse management system, distribution management system, and a depo management system, among others. Additionally, the company also offers ICT services to the logistics industry.",Undisclosed,,Port configuration and planning,,2012,Indonesia
eYARD,https://www.eyard.io/,eYard provides cloud-based software to manage container operations. It enables users to optimize container positions and reduce terminal costs and unproductive moves.,Undisclosed,,Port configuration and planning,,2019,Spain
Orderful,https://orderful.com/,"Orderful provides cloud-based EDI solutions to enable data transmission between supply chain partners. The solution enables suppliers/buyers to connect to an API that also has pre-made integrations with various channels such as 3PL platforms, retail platforms, e-commerce websites, etc. Users can further connect to the API in order to instantly transmit/exchange data with a network of partners.",Series A,"10,000,000",Port bottleneck optimisation,,2013,USA
LiteLink Technologies,https://litelinktech.com/,"LiteLink Tech is developing a blockchain-based logistics management solution. Offers an end to end logistics & tranaport management solution called 1Shift that enables real-time tracking, feedback and regulation. The solution offers an integrated verification service for the tracker, shipper, carrier, and third-party logistics. Provides AI-driven analytics based on the data shared data between the parties of the ecosystem.",Undisclosed,,Port bottleneck optimisation,,2018,Canada
Veson Nautical,https://veson.com/,"Veson Nautical is the provider of commercial maritime software for vessel owners, charterers, and operators. Their solutions include software offerings for voyage estimation, performance reporting, bunker management, laytime calculation, freight trading, and ship-to-shore communications. The company has two primary solutions: IMOS is the enterprise software solution providing business intelligence by analysing a constant flow of data; and VesLink, a tool for automated data entry for vehicles.",Undisclosed,,Port bottleneck optimisation,,2003,USA
RadiantFleet,https://www.radiantfleet.com/,"Radiantfleet provides a SaaS-based solution for ship and voyage management. Its main functionalities include personnel management, graphical planner, vessel management, crew roster management, payroll and customized reports. Additional features include analytics and certificate management. Clients inlcude Esko and Itineris.",Series A,,Port bottleneck optimisation,,2012,Cyprus
Voyager,https://www.voyagerportal.com/,"Voyager is a cloud-based collaborative workflow management solution for the bulk maritime shipping industry. The solution connects various stakeholders to provide supply chain visibility with features such as e-mail automation, real-time traceability of operations, KPIs and analytics.",Seed,"1,500,000",Port bottleneck optimisation,,2018,USA
Alpha Ori,https://www.alphaori.sg/,"Alpha Ori Technologies provides digital solutions to the maritime industry utilizing advanced technologies like IoT, big data, and artificial intelligence. Its portfolio products include SMARTShip: IoT-enabled ship connectivity & tracking system, BigDATA: AI & ML powered maritime analytics platform, and ShipERP: web-based ship management software suite. Some of its customers include Lauritzen Bulkers, Synergy Group, Singtel, Global United, and ST Electronics, among others.",Undisclosed,,Port bottleneck optimisation,,2017,Singapore
RightShip,https://www.rightship.com/,"RightShip provides risk assessment solutions and services for marine vessels. RightShip Qi, a product of the company provides a risk assessment based rating to marine vessels, which serves as an indicator of the safety of the vessel for transport. It claims to use big data and predictive analytics technology to analyze data and provides a rating of the vessel. As of Aug 2017, it claims to have more than 2,000 users across 280 organizations worldwide including Shell, Koch Industries and Peabody Energy among others.",Undisclosed,,Port bottleneck optimisation,,2001,Australia
MESPAS,https://www.mespas.com/,"Mespas provides software solutions for end-to-end ship management to the maritime industry. Offers a 'Technical Ship Management (TSM)' software covering various aspects such as scheduling, crew management, procurement (vessels & spare parts), maintenance management, QHSE management & reporting, task assignment & management, spare part inventory & equipment management, document management, analytics, and reporting. Additionally, the company also offers 'Connect', a procurement & trading platform that enables ship managers to connect with suppliers and manage procurement operations for maritime supplies, spare parts & vessels.",Undisclosed,,Port bottleneck optimisation,,2000,Switzerland
Maritime Optima,https://www.maritimeoptima.com/,"Maritime Optima is a cloud-based operational management software for maritime operators. The software connects various stakeholders (ship owners, operators, & traders) and provides collaborative operational management and descision support functionalities. Covers aspects such as real-time ship/port information, BI & competitor tracking, voyage planning & estimates, and carbon footprint calculation among others.",Undisclosed,,Port bottleneck optimisation,,2018,Norway
Akselos,https://akselos.com/,"Akselos provides an advanced SaaS-based operational simulation and predictive analytics platform. This platform enables engineers to perform detailed, fully-3D analysis of large-scale complex systems in seconds, which eliminates major problems across a wide range of engineering disciplines. Its features include modeler, condition-based modeling, multi-scenario asset analysis, hydrodynamic analysis of floating assets, pressure vessel & pipeline analysis, rotary machine analysis, and dynamic stochastic modeling.",Series A,"12,200,000",Digital twin of port,,2012,Switzerland
Monolith,https://www.monolithai.com/,"Monolith is a cloud-based AI platform developing simulations and machine learning software that helps engineers to design products like cars and aeroplanes. It caters to industries such as aerospace, automotive, and packaging. It provides an AI solution that works with difficult engineering data and can capture complex relationships. L'Oreal and CRIEPI are part of its clientele.",Seed,"2,410,000",Digital twin of port,,2018,England
NavVis,https://www.navvis.com/,"NavVis develops digital twin enabled solutions to map, navigate, and digitalize indoors of a commercial facility leveraging proprietary computer vision technology. Products include NavVis M6 which is an indoor mobile mapping system that uses the mobile LIDAR system along with mapping software to facilitate survey grade scanning operation. Also offers a content management system for adding geo-tagged information to 3D scan, known as NavVis IndoorViewer. In addition, it provides NavVis Indoor Navigation SDK which allows deploying the positioning and navigation technologies within third-party frameworks. Caters to transportation hubs, facility management, manufacturing, AEC, retail, real estate, and other industries. Clients include Siemens, BMW, Bosch, Allianz, among others.",Series C,"43,700,000",Digital twin of port,,2013,Germany
Ayla Networks,https://www.aylanetworks.com/,"Provides a platform to connect devices to the internet and deploy them. Their embedded agents help connect devices to the Ayla Cloud Services, where user can monitor and manage these devices. Also gives developer portal and application libraries to create apps to control these devices. Additionally, the company provides a virtualization engine that enables to create digital twins of physical devices and lay the foundation for device management at IoT scale.",Series D,"124,000,000",Digital twin of port,,2010,USA
Virtualitics,https://www.virtualitics.com/,"Virtualitics is offering a platform for data visualization in virtual reality. Claims to combine virtual reality, artificial intelligence, and big data. Shared Virtual Office is a collaborative and customizable shared space to analyze data and present and discuss insights. Claims that its solution can visualize as many as 10 dimensions in VR/AR via Shared Virtual Office which allows even untrained users to spot patterns in data. Claims that smart mapping is based on machine learning and natural language that summarizes the key patterns in the data. Yet to launch as of Feb 2017, in closed beta. Founders are Caltech and NASA JPL alum.",Series B,"14,500,000",Digital twin of port,,2016,USA
Kongsberg,https://www.kongsberg.com/,"Kongsberg provides technology like digital twin platform to design and develop solutions used for improving safety, security, and performance for the defence, maritime, oil and gas, fisheries and aerospace sectors. The group comprises of three subsidiary companies namely Kongsberg Maritime, Kongsberg Defence Systems, and Kongsberg Digital. Kongsberg Maritime offers deck systems, dynamic positioning systems, navigation systems, autonomous underwater vehicles, unmanned surface vehicles, marine automation & surveillance systems, motion sensors, and more to maritime companies. Kongsberg Defence Systems develops defence and space-related systems and products, with a focus on anti-ship missiles, military communications, and command and weapons control systems. Kongsberg Digital provides digital solutions such as artificial intelligence, maritime simulation, and automation to companies within the petroleum industry, renewable energy and the utility industry. In 2018, partnered with Basto Fosen to develop a system for automating the crossing between Horten and Moss and for moving ferries to and from the quay.",Undisclosed,,Digital twin of port,,2011,Norway
3Data,https://3data.io/,"3Data, fka DatavizVR, is a web-based immersive data visualization tool. It allows users to plot data points in a three-dimensional environment thereby discovering hidden insights from their data. The platform also allows users to collaborate in virtual space for co-creating data visualizations, discussing insights, and building data presentations. Is based on AR and VR and uses AI in helping enterprises to increase productivity and collaboration. It allows the users to leverage webVR thereby eliminating the need for external hardware. The tool has use cases in technology, science, engineering, and finance. The company, in February 2018, was accepted to BoostVC's accelerator program, Tribe 11.",Undisclosed,,Digital twin of port,,2016,USA
Nomoko,https://nomoko.world/,"Nomoko has developed a solution to interact and build applications on top of the digital twin of the world. The solution comprises of a reality capture camera and software pipeline for photorealistic 3D models. The reality capture camera is essentially a 1,500 megapixels camera that can be mounted on either an unmanned aerial vehicle or used at the ground level for gathering photorealistic 3D reconstruction with incorporated metadata such as materials, object classification, geometry recognition, physics. The company claims that the distributed 3D modeling pipeline software can handle the voluminous amount of data generated and allows the same to be interactively interrogated for building applications on top of it. The target market includes the self-driving car industry, gaming sector, urban planning, smart cities, among others.",Undisclosed,,Digital twin of port,,2015,Switzerland
Unit040,https://www.unit040.com/,"Unit040 is an Eindhoven-based virtual reality company that has developed a digital twin platform called PreSpective which enables enterprises to develop and test a system in the virtual world before the real system exists. The platform works by modeling the factory or the machinery (through importing 3D CAD engineering files) thereby reproducing the processes and behavior of system components, driven by the real embedded and control software. In addition, it allows simulating the external factors and the environment as well such as people, products or even traffic thereby enabling early error detection and first time right engineering. Clients include Philips, ASML, Canon, Rexroth Bosch Group, Tauw, among others. Unit040 is one of the Brainport High Tech Software Cluster companies.",Series A,,Digital twin of port,,2006,Netherlands
Taqtile,https://taqtile.com/,"Taqtile develops solutions in the areas of augmented, virtual, and mixed reality. The product line includes HoloMaps, Manifest, and Pedestal. Manifest is a mixed-reality platform for hands-free authoring of step-by-step instructions by a remote expert, allowing operators and technicians to perform inspections, maintenance, and complex tasks. HoloMaps is an application for navigating through a holographic model while simultaneously overlaying real-time data in either a solo or shared experience. Pedestal enables collaborative holographic visualization of optimized 3D models, including annotation and markup, and IoT integration. The solutions were initially built for Hololens but as of September 2018, supports multiple AR/VR platforms. Partners include Salesforce, ESRI, Microsoft, AT&T, and more. Clientele includes NBC, AT&T, Pepsi, Stanford University, Dollar General, and more.",Seed,"3,000,000",Digital twin of port,,2011,USA
Trakref,https://www.trakref.com/,"Trakref provides compliance, asset management, benchmarking, and communication solution for the organizations. The product Trakref is a cloud-based HVAC/R management software for meeting California Air Resources Board (CARB) Refrigerant Management Program (RMP), EPA 608 and ISO 14001 compliance requirements. Features include refrigerant lifecycle tracking and management and platform following the Statement on Standards for Attestation Engagements 16 (SSAE 16) regulatory standards.",Series A,"1,250,000",Disaster proofing and management,,2011,USA
Zyght,https://www.zyght.com/,"ZYGHT provides occupational health and safety mobile technology solution for enterprises especially mining industry in chile to manage workplace health and safety, reduce operational risks and demonstrate compliance with regulatory requirements. The product incorporates best practices for preventing accidents, such as reportability, visible leadership, behavioral observations, analysis review safe work, and a tool to set incentives to workers more committed to safety. It allows timely incident reporting and task update from any smartphone, tablet or desktop computer. Some of the clients include precon, barrick zaldivar, atlas capco, pacific hydro, excon, disal etc. ZYGHT was selected within the top 10 emerging companies in the country.",Seed,"812,000",Disaster proofing and management,,2011,Chile
Osperity,https://osperity.com/,"Osperity provides operational risk management solutions to mitigate safety and environmental risks. The platform offered by the company capture data from sensors and visualizes the data by leveraging artificial intelligence and computer vision. It provides visual monitoring solutions for the management of field operations, assets, and facilities. It can also be used to provide a solution such as remote visual inspection, terminal monitoring, thermal condition monitoring. hardware health monitoring and activity monitoring. The cloud-based solution offered by the company can also be integrated with industrial data systems such as SCADA and IoT platforms for alarm validation and situational awareness. Clientele includes Royal Dutch Shell, Chevron, Husky, OBSIDIAN Energy, and JUPITER Resources.",Series B,"3,780,000",Disaster proofing and management,,2019,USA
Quentic,https://www.quentic.com/,"Quentic provides solutions for occupational health & safety, environmental protection, and sustainability management. The solutions are offered through its core foundation platform to build and centrally map the modules. These modules give solutions for workforce health & safety, risk & audit management, hazardous material control, legal compliance, and work process optimization. The software is suitable for management systems according to ISO 14001, ISO 50001 and ISO 45001. The company also provides an application, which is an incident reporting tool. Serves industries including automotive, chemical, electronics, healthcare, metal, logistics, and utility. Notable clients include Olympus, T-Mobile, Nobilia. Voith, and DATEV.",Series A,"41,300,000",Disaster proofing and management,,2007,Germany
